,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value
34,4391.737164163245,4136.0,107598.63391014774,66523.68855783889,2021-02-27,2021-01-31,17196.737164163245,16941.0
35,4766.841075156137,3757.0,112365.47498530387,70280.68855783889,2021-03-06,2021-02-07,15958.841075156137,14949.0
36,4008.3059776330756,4408.0,116373.78096293694,74688.68855783889,2021-03-13,2021-02-14,12266.305977633076,12666.0
37,4510.345775095942,1192.0,120884.12673803288,75880.68855783889,2021-03-20,2021-02-21,11240.345775095942,7922.0
38,3794.0850445064534,1341.0,124678.21178253934,77221.68855783889,2021-03-27,2021-02-28,10258.085044506453,7805.0
39,2258.4892340168317,1707.0,126936.70101655617,78928.68855783889,2021-04-03,2021-03-07,7717.489234016832,7166.0
40,584.0825499269331,494.0,127520.7835664831,79422.68855783889,2021-04-10,2021-03-14,6017.917450073067,6108.0
41,24.273070266735886,1274.0,127545.05663674982,80696.68855783889,2021-04-17,2021-03-21,4773.273070266736,6023.0
42,860.0472663395249,1535.0,128405.10390308934,82231.68855783889,2021-04-24,2021-03-28,5537.047266339525,6212.0
43,1054.3919020896842,973.0,129459.49580517903,83204.68855783889,2021-05-01,2021-04-04,3384.608097910316,5412.0
44,1037.1354013461423,1724.0,130496.63120652517,84928.68855783889,2021-05-08,2021-04-11,5356.135401346142,6043.0
45,367.346823783686,1338.0,130863.97803030885,86266.68855783889,2021-05-15,2021-04-18,3503.653176216314,5209.0
46,178.3622640242179,458.0,131042.34029433307,86724.68855783889,2021-05-22,2021-04-25,3734.362264024218,4014.0
47,454.3635170104876,993.0,131496.70381134356,87717.68855783889,2021-05-29,2021-05-02,3958.6364829895124,3420.0
