date,diff_reg
8/4/20,1041.0045556412056
8/5/20,1031.7129750181657
8/6/20,1023.5886042284446
8/7/20,1016.4549740575143
8/8/20,1013.006883112561
8/9/20,1012.8849969922462
8/10/20,1016.8568434132895
8/11/20,1020.8301298556388
8/12/20,1020.3517894571677
8/13/20,1014.8829550068556
8/14/20,1009.1068502291133
8/15/20,1002.4349781759
8/16/20,995.6531443278743
8/17/20,987.3766510387276
8/18/20,979.7361046722901
8/19/20,972.2891030000509
8/20/20,963.605352815191
8/21/20,954.3701015345416
8/22/20,943.567713417283
8/23/20,931.8714507773628
8/24/20,921.4236900345104
8/25/20,915.6265941372895
8/26/20,912.6293207715923
8/27/20,908.1519030887409
8/28/20,900.4786336946256
8/29/20,888.670769883698
8/30/20,873.0298121646089
8/31/20,852.7515326314394
9/1/20,829.0768757852048
9/2/20,805.8517288280137
9/3/20,786.3497650901468
9/4/20,767.8205543993644
9/5/20,754.2949673810967
9/6/20,747.0402952051097
9/7/20,744.4403632883331
9/8/20,745.4737001751037
9/9/20,748.1639355455858
9/10/20,753.7357695017898
9/11/20,759.8506632648207
9/12/20,766.7764497065583
9/13/20,774.6883460434983
9/14/20,781.2205624793949
9/15/20,785.7030951584868
9/16/20,788.1039872854484
9/17/20,787.7436089525573
9/18/20,784.9847718733926
9/19/20,778.6583584929854
9/20/20,768.8445914079205
9/21/20,760.0576305855569
9/22/20,752.5100372034414
9/23/20,747.0325880559859
9/24/20,742.3481880621688
9/25/20,738.9101281372218
9/26/20,735.3088977854851
9/27/20,727.9098350446508
9/28/20,722.4489171691521
9/29/20,718.5481628493154
9/30/20,712.5930118814512
10/1/20,705.0469392256456
10/2/20,701.2315636272183
10/3/20,700.458956322325
10/4/20,702.7115869957398
10/5/20,706.1097758269401
10/6/20,710.0049779269865
10/7/20,714.4451731396508
10/8/20,718.3876026754808
10/9/20,722.8448684085686
10/10/20,727.5362224406279
10/11/20,729.6891340206663
10/12/20,730.6551595092476
10/13/20,734.6130575422045
10/14/20,743.1359683393432
10/15/20,754.169443319197
10/16/20,765.3977847204893
10/17/20,777.5047538539311
10/18/20,787.5869200341583
10/19/20,797.5958705526002
10/20/20,806.0962284675759
10/21/20,811.6081871242853
10/22/20,816.016402890121
10/23/20,821.8462760227252
10/24/20,828.8156919258244
10/25/20,836.6236390514746
10/26/20,842.9388196229631
10/27/20,847.8693885725482
10/28/20,857.5348577861284
10/29/20,874.5378708352745
10/30/20,896.8101602355714
10/31/20,920.5394357923883
11/1/20,945.8400391595723
11/2/20,971.6367949758503
11/3/20,995.5792076274831
11/4/20,1012.8175873268559
11/5/20,1027.2253224265637
11/6/20,1040.1384697546096
11/7/20,1051.2014983011884
11/8/20,1060.8625560459252
11/9/20,1072.0710603227947
11/10/20,1088.7335137255113
11/11/20,1114.9184661198703
11/12/20,1151.4836354388958
11/13/20,1204.123623291739
11/14/20,1274.1584906286635
11/15/20,1351.4065980694438
11/16/20,1424.0883354239104
11/17/20,1480.932593556879
11/18/20,1524.7269600126617
